Date,Open,High,Low,Close
2019-09-20,36214.92,38378.02,36085.74,38014.62
2019-09-19,36613.93,36613.93,35987.8,36093.47
2019-09-18,36621.38,36712.99,36465.92,36563.88
2019-09-17,37169.46,37169.56,36419.09,36481.09
2019-09-16,37204.56,37302.06,37028.94,37123.31
2019-09-13,37175.86,37413.5,37000.09,37384.99
2019-09-12,37330.47,37435.15,37048.67,37104.28
2019-09-11,37251.03,37343.46,37193.57,37270.82
2019-09-09,36969.48,37244.08,36784.47,37145.45
2019-09-06,36785.59,37012.98,36727.66,36981.77
2019-09-05,36821.71,36898.99,36541.88,36644.42
2019-09-04,36575.24,36776.31,36409.54,36724.74
2019-09-03,37181.76,37188.38,36466.01,36562.91
2019-08-30,37222.26,37397.97,36829.81,37332.79
2019-08-29,37381.8,37381.8,36987.35,37068.93
2019-08-28,37655.77,37687.82,37249.19,37451.84
2019-08-27,37658.48,37731.51,37449.69,37641.27
2019-08-26,37363.95,37544.48,36492.65,37494.12
2019-08-23,36387.68,36807.34,36102.35,36701.16
2019-08-22,37087.58,37087.58,36391.35,36472.93
2019-08-21,37298.73,37406.55,37022.52,37060.37
2019-08-20,37441.75,37511.55,37219.9,37328.01
2019-08-19,37485.92,37718.88,37358.49,37402.49
2019-08-16,37383.0,37444.45,36974.41,37350.33
2019-08-14,37233.5,37473.61,37000.77,37311.53
2019-08-13,37755.16,37755.16,36888.49,36958.16
2019-08-09,37521.3,37807.55,37406.26,37581.91
2019-08-08,36808.01,37405.48,36655.41,37327.36
2019-08-07,37025.27,37104.79,36610.57,36690.5
2019-08-06,36568.03,37241.77,36536.59,36976.85
2019-08-05,36842.17,36844.05,36416.79,36699.84
2019-08-02,36920.11,37375.16,36607.41,37118.22
2019-08-01,37387.18,37387.18,36694.18,37018.32
2019-07-31,37257.55,37576.37,37128.26,37481.12
2019-07-30,37735.54,37950.21,37359.03,37397.24
2019-07-29,38043.22,38043.22,37519.16,37686.37
2019-07-26,37831.18,37978.07,37690.47,37882.79
2019-07-25,37935.02,38169.87,37775.51,37830.98
2019-07-24,37990.23,38102.84,37708.41,37847.65
2019-07-23,38138.56,38217.81,37898.9,37982.74
2019-07-22,38333.52,38333.52,37890.32,38031.13
2019-07-19,39058.73,39058.73,38271.35,38337.01
2019-07-18,39204.47,39204.47,38861.25,38897.46
2019-07-17,39171.1,39284.73,39081.14,39215.64
2019-07-16,38961.86,39173.89,38845.27,39131.04
2019-07-15,39009.95,39023.97,38696.6,38896.71
2019-07-12,38941.1,39021.84,38684.85,38736.23
