SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1333.60,1364.00,1326.00,1349.25,1349.25,1332.65,370,2437,3276070.00,
500003,AEGIS LOGIS ,A ,Q,193.95,194.00,190.00,191.65,191.00,192.60,225,8166,1564203.00,
500008,AMAR RAJA BA,A ,Q,655.20,655.65,646.00,649.05,646.00,656.00,178,5055,3282220.00,
500009,A.SARABHAI  ,X ,Q,11.63,11.63,11.30,11.41,11.45,11.57,13,1700,19329.00,
500010,HDFC        ,A ,Q,2077.05,2092.00,2063.75,2085.65,2085.65,2082.85,4566,57294,119080958.00,
500012,ANDHRA PETRO,X ,Q,42.00,42.95,41.70,42.60,42.75,42.25,127,21770,922329.00,
500013,ANSAL INFRAS,B ,Q,5.24,5.24,5.11,5.14,5.19,5.02,82,29926,153942.00,
500014,APPLE FINANC,XT,Q,1.28,1.28,1.22,1.28,1.28,1.22,26,5149,6506.00,
500016,ARUNAHTEL   ,XT,Q,6.64,6.64,6.64,6.64,6.64,6.98,2,200,1328.00,
500020,BOM DYEING  ,A ,Q,85.60,87.70,85.20,86.45,86.45,85.90,2003,213628,18492825.00,
500024,ASSAMCO     ,T ,Q,0.70,0.70,0.70,0.70,0.70,0.73,31,41014,28709.00,
500027,ATUL LTD.   ,A ,Q,3767.70,3767.70,3724.00,3737.80,3730.00,3748.90,165,353,1321867.00,
500028,ATV PROJECTS,XT,Q,3.74,3.78,3.65,3.77,3.78,3.60,6,936,3510.00,
500029,AUTOLITE(I) ,B ,Q,26.45,26.45,23.65,25.75,25.75,24.10,20,705,17403.00,
500031,BAJAJ ELECT.,A ,Q,385.00,385.15,375.50,379.15,381.25,381.90,295,3681,1397911.00,
500032,BAJAJHIND   ,B ,Q,7.50,7.72,7.50,7.60,7.60,7.54,252,208764,1590702.00,
500033,FORCE MOTR  ,A ,Q,1215.00,1225.00,1192.00,1197.95,1197.95,1212.75,1759,9872,11887434.00,
500034,BAJFINANCE  ,A ,Q,3399.90,3435.95,3375.40,3425.95,3425.95,3382.80,4632,71437,243441557.00,
500038,BALRAM.CHINI,A ,Q,152.00,152.00,145.30,146.70,146.70,151.35,3780,284283,42309639.00,
500039,BANCO PROD. ,B ,Q,108.95,116.00,106.85,113.00,113.25,108.50,476,17115,1940444.00,
500040,CENTURY TEXT,A ,Q,908.70,923.75,897.20,921.30,921.00,901.35,1165,44866,40793288.00,
500041,BANNARI AMAN,B ,Q,1147.00,1236.10,1129.05,1136.95,1144.20,1121.30,29,53,60693.00,
500042,BASF INDIA  ,A ,Q,1030.45,1030.45,1012.00,1019.10,1019.35,1018.80,133,814,833345.00,
500043,BATA INDIA  ,A ,Q,1555.20,1570.00,1549.05,1566.20,1566.80,1551.20,1173,28985,45168048.00,
500048,BEML LTD    ,A ,Q,817.95,841.80,810.35,839.05,839.05,811.05,1745,52345,43472151.00,
500049,BHARAT ELECT,A ,Q,108.15,109.40,105.50,108.70,108.50,108.00,2565,774854,83395145.00,
500052,BHANSALI ENG,B ,Q,60.40,62.90,59.10,61.05,61.05,60.50,1585,146307,8931444.00,
500055,TATASTLBSL  ,B ,Q,23.15,23.15,22.25,22.95,22.95,22.90,208,85731,1953241.00,
500058,BIHAR SPONGE,XT,Q,0.67,0.67,0.61,0.67,0.67,0.64,13,13534,8992.00,
500059,BINANI IND. ,T ,Q,13.05,13.05,11.95,12.17,12.50,12.43,37,42239,513269.00,
500060,BIRLACABLE  ,B ,Q,50.80,51.45,50.00,50.45,50.75,50.20,99,5594,282912.00,
500067,BLUE STAR   ,A ,Q,723.95,726.80,718.60,725.10,722.95,720.65,75,1000,721613.00,
500069,BNK CAPITAL ,X ,Q,78.00,78.00,78.00,78.00,78.00,75.05,2,13,1014.00,
500074,BPL LTD.    ,B ,Q,20.00,20.45,19.35,20.00,20.00,19.85,383,11146,221543.00,
500078,OAL         ,B ,Q,194.95,199.00,193.20,197.30,196.50,193.90,102,599,117955.00,
500083,CENTURY EXT ,B ,Q,3.05,3.10,2.92,2.97,2.97,3.13,13,18503,55258.00,
500084,CESC LTD.   ,A ,Q,806.65,827.00,804.30,824.80,826.25,805.45,1723,29374,24075601.00,
